=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:23:28 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 41312, Voltage 1: 2.68V, Voltage 2: 1.36V
Millis: 41365, Voltage 1: 2.52V, Voltage 2: 1.27V
Millis: 41421, Voltage 1: 2.38V, Voltage 2: 1.22V
Millis: 41481, Voltage 1: 2.31V, Voltage 2: 1.24V
Millis: 41527, Voltage 1: 2.36V, Voltage 2: 1.24V
Millis: 41585, Voltage 1: 2.39V, Voltage 2: 1.23V
Millis: 41632, Voltage 1: 2.54V, Voltage 2: 1.33V
Millis: 41693, Voltage 1: 2.55V, Voltage 2: 1.30V
Millis: 41751, Voltage 1: 2.60V, Voltage 2: 1.32V
Millis: 41801, Voltage 1: 1.87V, Voltage 2: 1.25V
Millis: 41856, Voltage 1: 2.42V, Voltage 2: 1.34V
Millis: 41913, Voltage 1: 2.67V, Voltage 2: 1.33V
Millis: 41952, Voltage 1: 2.97V, Voltage 2: 1.40V
Millis: 42010, Voltage 1: 2.95V, Voltage 2: 1.30V
Millis: 42063, Voltage 1: 2.61V, Voltage 2: 1.32V
Millis: 42101, Voltage 1: 2.48V, Voltage 2: 1.25V
Millis: 42161, Voltage 1: 2.52V, Voltage 2: 1.31V
Millis: 42215, Voltage 1: 2.38V, Voltage 2: 1.32V
Millis: 42268, Voltage 1: 2.48V, Voltage 2: 1.32V
Millis: 42323, Voltage 1: 2.74V, Voltage 2: 1.27V
Millis: 42362, Voltage 1: 2.52V, Voltage 2: 1.32V
Millis: 42421, Voltage 1: 2.61V, Voltage 2: 1.37V
Millis: 42462, Voltage 1: 2.93V, Voltage 2: 1.29V
Millis: 42536, Voltage 1: 2.50V, Voltage 2: 1.35V
Millis: 42615, Voltage 1: 2.73V, Voltage 2: 1.32V
Millis: 42657, Voltage 1: 2.84V, Voltage 2: 1.30V
Millis: 42708, Voltage 1: 2.47V, Voltage 2: 1.26V
Millis: 42747, Voltage 1: 2.42V, Voltage 2: 1.26V
