=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:19:00 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 356656, Voltage 1: 2.37V, Voltage 2: 0.94V
Millis: 356722, Voltage 1: 2.38V, Voltage 2: 0.95V
Millis: 356800, Voltage 1: 1.82V, Voltage 2: 0.94V
Millis: 356862, Voltage 1: 2.32V, Voltage 2: 0.95V
Millis: 356938, Voltage 1: 2.56V, Voltage 2: 1.02V
Millis: 356998, Voltage 1: 2.39V, Voltage 2: 0.95V
Millis: 357058, Voltage 1: 2.48V, Voltage 2: 0.95V
Millis: 357127, Voltage 1: 2.46V, Voltage 2: 0.95V
Millis: 357178, Voltage 1: 2.32V, Voltage 2: 0.96V
Millis: 357237, Voltage 1: 2.49V, Voltage 2: 0.97V
Millis: 357311, Voltage 1: 2.46V, Voltage 2: 0.96V
Millis: 357380, Voltage 1: 2.54V, Voltage 2: 1.05V
Millis: 357446, Voltage 1: 2.40V, Voltage 2: 0.95V
Millis: 357519, Voltage 1: 2.54V, Voltage 2: 0.96V
Millis: 357587, Voltage 1: 2.64V, Voltage 2: 0.96V
Millis: 357670, Voltage 1: 2.22V, Voltage 2: 0.94V
Millis: 357729, Voltage 1: 2.16V, Voltage 2: 0.94V
Millis: 357800, Voltage 1: 2.19V, Voltage 2: 0.94V
Millis: 357892, Voltage 1: 2.17V, Voltage 2: 0.95V
Millis: 357962, Voltage 1: 2.19V, Voltage 2: 0.93V
Millis: 358026, Voltage 1: 2.47V, Voltage 2: 0.98V
Millis: 358111, Voltage 1: 2.21V, Voltage 2: 0.96V
Millis: 358176, Voltage 1: 2.49V, Voltage 2: 0.97V
Millis: 358253, Voltage 1: 2.61V, Voltage 2: 0.97V
Millis: 358337, Voltage 1: 2.24V, Voltage 2: 0.96V
Millis: 358399, Voltage 1: 2.41V, Voltage 2: 0.95V
Millis: 358461, Voltage 1: 2.43V, Voltage 2: 0.94V
Millis: 358538, Voltage 1: 2.38V, Voltage 2: 0.94V
Millis: 358614, Voltage 1: 2.19V, Voltage 2: 0.96V
Millis: 358701, Voltage 1: 4.03V, Voltage 2: 0.96V
Millis: 358777, Voltage 1: 2.43V, Voltage 2: 0.96V
Millis: 358827, Voltage 1: 2.67V, Voltage 2: 0.97V
Millis: 358912, Voltage 1: 2.52V, Voltage 2: 0.94V
Millis: 358993, Voltage 1: 2.26V, Voltage 2: 0.96V
Millis: 359048, Voltage 1: 2.42V, Voltage 2: 1.00V
Millis: 359122, Voltage 1: 2.27V, Voltage 2: 0.94V
Millis: 359191, Voltage 1: 2.38V, Voltage 2: 0.96V
